Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
584       5.840     -28.259191822234     13.247751793149     -41.506943615383     118.621781790816
586       5.860     -28.198052844965     13.254344233020     -41.452397077986     118.680811200190
588       5.880     -28.139205233738     13.271904970280     -41.411110204018     118.838051913616
590       5.900     -28.092142301249     13.331452348602     -41.423594649852     119.371245486977
592       5.920     -28.072628773639     13.417593488712     -41.490222262351     120.142562438327
594       5.940     -28.087976346024     13.503505790770     -41.591482136794     120.911830349360
596       5.960     -28.136619558374     13.570498433791     -41.707117992165     121.511689616517
598       5.980     -28.208153185664     13.601475171134     -41.809628356798     121.789058624859
600       6.000     -28.288666601773     13.610600826006     -41.899267427779     121.870770711395
602       6.020     -28.373649302193     13.623438974093     -41.997088276286     121.985724857940
604       6.040     -28.464202727176     13.624263608391     -42.088466335566     121.993108721346
606       6.060     -28.550062678168     13.577326350264     -42.127389028432     121.572827508486
608       6.080     -28.611374284527     13.498456493883     -42.109830778409     120.866618406771
610       6.100     -28.643107791162     13.455707784764     -42.098815575926     120.483841908231
612       6.120     -28.666535925810     13.480767873407     -42.147303799218     120.708232613396
614       6.140     -28.703952355474     13.516009841194     -42.219962196668     121.023792949812
616       6.160     -28.749400357331     13.491753935577     -42.241154292908     120.806602985198
618       6.180     -28.777552174320     13.413510941056     -42.191063115376     120.106006871405
620       6.200     -28.773154470434     13.341184418029     -42.114338888464     119.458387474085
622       6.220     -28.745056526650     13.324897344420     -42.069953871071     119.312551280757
624       6.240     -28.718192707706     13.371666020752     -42.089858728457     119.731322994256
626       6.260     -28.714603841385     13.433125148825     -42.147728990210     120.281634578685
628       6.280     -28.730574590727     13.422669603836     -42.153244194564     120.188014514274
630       6.300     -28.728698321560     13.294553366935     -42.023251688496     119.040848071633
632       6.320     -28.665394483270     13.114846916521     -41.780241399791     117.431737357578
634       6.340     -28.535250685350     13.021984158363     -41.557234843713     116.600234321693
636       6.360     -28.386512074485     13.108711031491     -41.495223105976     117.376795988929
638       6.380     -28.291938273740     13.345783024369     -41.637721298108     119.499563885467
640       6.400     -28.298656527467     13.600963936690     -41.899620464158     121.784480977156
642       6.420     -28.397853970325     13.746324638918     -42.144178609242     123.086056200619
644       6.440     -28.538881483399     13.745444291735     -42.284325775134     123.078173478096
646       6.460     -28.667398140723     13.646646225640     -42.314044366363     122.193525062227
648       6.480     -28.751889644325     13.518111370189     -42.270001014514     121.042610264468
650       6.500     -28.786320350043     13.408071142553     -42.194391492595     120.057298335714
652       6.520     -28.780528425639     13.332481200739     -42.113009626378     119.380457938688
654       6.540     -28.747366126319     13.287542838006     -42.034908964325     118.978075048265
656       6.560     -28.699538455204     13.279589154225     -41.979127609429     118.906856915809
658       6.580     -28.653631351620     13.305125981386     -41.958757333006     119.135516388483
660       6.600     -28.617974467450     13.312382497413     -41.930356964863     119.200492006551
662       6.620     -28.578015340845     13.261026847777     -41.839042188622     118.740648045098
664       6.640     -28.512788705804     13.192331866212     -41.705120572015     118.125545857150
666       6.660     -28.425031939521     13.185271108135     -41.610303047656     118.062323076641
668       6.680     -28.345140224174     13.263148119955     -41.608288344129     118.759642142314
670       6.700     -28.301581408177     13.365045714369     -41.666627122546     119.672044065169
672       6.720     -28.294705111594     13.416858998165     -41.711564109758     120.135985731666
674       6.740     -28.300259539672     13.392079434937     -41.692338974609     119.914106880976
676       6.760     -28.288758634016     13.310218104868     -41.598976738883     119.181111804967
678       6.780     -28.241629505897     13.217278504130     -41.458908010026     118.348920712427
680       6.800     -28.160406592652     13.165809208797     -41.326215801449     117.888059155297
