Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
178       1.780     -10.503211429047     23.424298898340     -33.927510327388     209.743669409531
180       1.800     -10.794535181666     23.007631693009     -33.802166874675     206.012786835493
182       1.820     -11.747259795855     22.750394472355     -34.497654268210     203.709457339796
184       1.840     -11.798925554984     22.518048750261     -34.316974305244     201.629008975674
186       1.860     -11.466653441592     22.911247536317     -34.377900977909     205.149752821747
188       1.880     -11.241676202298     23.233273590736     -34.474949793034     208.033208441587
190       1.900     -11.905183789116     22.843975629610     -34.749159418725     204.547392997777
192       1.920     -11.452172596737     22.469825190235     -33.921997786971     201.197210078479
194       1.940     -11.698681368734     22.646260148203     -34.344941516938     202.777027500427
196       1.960     -11.932085072873     22.405334388051     -34.337419460924     200.619752560886
198       1.980     -12.380804612579     22.182847819322     -34.563652431901     198.627584107006
200       2.000     -12.116364255718     22.824486991218     -34.940851246936     204.372889652091
