Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
326       3.260     -25.822424323734     12.735215558543     -38.557639882277     114.032477708839
328       3.280     -25.810333942076     12.707447671234     -38.517781613310     113.783841085764
330       3.300     -25.811163811692     12.770798460949     -38.581962272641     114.351090810187
332       3.320     -25.813898993168     12.952344752536     -38.766243745704     115.976675658222
334       3.340     -25.816554450190     13.037564818831     -38.854119269021     116.739745216447
336       3.360     -25.809811711384     12.927262265379     -38.737073976763     115.752084394386
338       3.380     -25.807426038741     12.874123545223     -38.681549583964     115.276274629422
340       3.400     -25.818795906924     12.948477010525     -38.767272917449     115.942043483951
342       3.420     -25.812336476040     12.875707936496     -38.688044412536     115.290461437776
344       3.440     -25.809186867126     12.884532058690     -38.693718925816     115.369473568572
346       3.460     -25.822451885783     12.911197480337     -38.733649366120     115.608238596580
348       3.480     -25.801034522390     12.579358997557     -38.380393519946     112.636921447167
350       3.500     -25.819454748387     12.621301869797     -38.440756618184     113.012482396397
352       3.520     -25.807876091440     12.603459752614     -38.411335844054     112.852722177134
354       3.540     -25.820971657204     12.882864947406     -38.703836604610     115.354546076415
356       3.560     -25.818277719503     12.947373907655     -38.765651627157     115.932166183259
358       3.580     -25.810881918988     12.838074531806     -38.648956450794     114.953487920388
360       3.600     -25.823638127647     12.809399089408     -38.633037217055     114.696724952300
362       3.620     -25.800760588895     12.588301661671     -38.389062250567     112.716995014955
364       3.640     -25.826629350800     12.830416890714     -38.657046241514     114.884920585737
366       3.660     -25.811033363229     12.835519895850     -38.646553259079     114.930613437717
368       3.680     -25.822949769980     13.020958257871     -38.843908027851     116.591048299327
370       3.700     -25.817381217932     13.048051868890     -38.865433086822     116.833647380616
372       3.720     -25.811545036707     12.953903616092     -38.765448652799     115.990633888686
374       3.740     -25.818035666729     12.835219356989     -38.653255023718     114.927922380716
376       3.760     -25.810239989430     12.766384451736     -38.576624441166     114.311567301151
378       3.780     -25.820156478121     12.932699845926     -38.752856324047     115.800773070259
380       3.800     -25.812627601186     12.850332938810     -38.662960539996     115.063251003477
382       3.820     -25.814781670997     12.839080159340     -38.653861830337     114.962492416530
384       3.840     -25.813894693601     12.886793487804     -38.700688181405     115.389722645929
386       3.860     -25.809429914484     12.847693162580     -38.657123077064     115.039614165703
388       3.880     -25.809010146799     12.949684326526     -38.758694473326     115.952853920131
390       3.900     -25.823618591439     13.064611625736     -38.888230217175     116.981925208713
392       3.920     -25.812664790592     12.806814855619     -38.619479646210     114.673585447470
394       3.940     -25.808360429763     12.671924895674     -38.480285325438     113.465766366610
396       3.960     -25.818074107767     12.822302486474     -38.640376594241     114.812263345157
398       3.980     -25.817800160770     12.840929567119     -38.658729727888     114.979052210935
400       4.000     -25.812589131044     12.805496703366     -38.618085834410     114.661782571679
402       4.020     -25.821804790124     12.938417795998     -38.760222586121     115.851972204743
404       4.040     -25.818163348215     12.894635016776     -38.712798364991     115.459936532265
406       4.060     -25.814388857397     12.851301487390     -38.665690344787     115.071923490709
408       4.080     -25.815516788631     12.860498833774     -38.676015622405     115.154277510685
410       4.100     -25.821527355420     12.787026406905     -38.608553762325     114.496397568206
412       4.120     -25.802924661112     12.583175814413     -38.386100475526     112.671097632181
414       4.140     -25.820077910595     12.679857607480     -38.499935518075     113.536796713760
416       4.160     -25.814758543040     12.802262603917     -38.617021146957     114.632824100459
418       4.180     -25.816718635561     12.882283717655     -38.699002353216     115.349341683270
420       4.200     -25.813162050311     12.706720053953     -38.519882104264     113.777325923061
422       4.220     -25.815926155156     12.700175164389     -38.516101319545     113.718722284209
424       4.240     -25.818757545936     12.783713781009     -38.602471326945     114.466735962799
426       4.260     -25.814381774955     12.768172934480     -38.582554709435     114.327581566296
428       4.280     -25.816263867808     13.046902707407     -38.863166575215     116.823357666199
430       4.300     -25.819681452432     13.146052583477     -38.965734035908     117.711156226084
432       4.320     -25.798640280717     12.926289396068     -38.724929676785     115.743373218865
434       4.340     -25.823398560222     13.186530741781     -39.009929302002     118.073601970584
436       4.360     -25.815795308252     13.023575537122     -38.839370845374     116.614483696746
438       4.380     -25.818009205789     12.670319315801     -38.488328521590     113.451389833266
440       4.400     -25.803479679649     12.524452474755     -38.327932154403     112.145282588860
442       4.420     -25.825217918431     12.842476111502     -38.667694029932     114.992900134203
444       4.440     -25.814699863414     12.781159431320     -38.595859294734     114.443864043386
446       4.460     -25.806427916774     12.686983197253     -38.493411114027     113.600600004188
448       4.480     -25.811940952638     12.923838682888     -38.735779635527     115.721429271801
450       4.500     -25.818536915730     13.198171736428     -39.016708652158     118.177836677609
452       4.520     -25.810808969229     13.002226187864     -38.813035157093     116.423319347607
454       4.540     -25.815761617704     12.774720826220     -38.590482443924     114.386212086954
456       4.560     -25.817594311512     12.695934312879     -38.513528624391     113.680749247709
458       4.580     -25.800500968958     12.750245221339     -38.550746190297     114.167054911703
460       4.600     -25.827928407686     13.247524088930     -39.075452496615     118.619742902960
462       4.620     -25.816362349202     13.140025277008     -38.956387626210     117.657187081441
464       4.640     -25.806491466171     12.825293569092     -38.631785035263     114.839045817776
466       4.660     -25.817105813257     12.855792335760     -38.672898149017     115.112135025748
468       4.680     -25.816578898507     12.920182433847     -38.736761332354     115.688690828120
470       4.700     -25.810669454162     12.887286286859     -38.697955741021     115.394135221199
472       4.720     -25.812776854783     13.054725816373     -38.867502671156     116.893406617838
474       4.740     -25.818099431521     13.427787450025     -39.245886881546     120.233840254617
476       4.760     -25.818893179677     13.297178836962     -39.116072016639     119.064356810132
478       4.780     -25.808239119876     12.868541415297     -38.676780535173     115.226291642999
480       4.800     -25.813288596564     12.853468024338     -38.666756620902     115.091322893498
482       4.820     -25.809137592769     12.945383058736     -38.754520651505     115.914339909812
484       4.840     -25.811970208034     13.222359990866     -39.034330198900     118.394420886357
486       4.860     -25.820174538092     13.442312880849     -39.262487418940     120.363902510650
488       4.880     -25.815041538782     13.252078698762     -39.067120237544     118.660525364926
490       4.900     -25.807843006333     13.005648030917     -38.813491037250     116.453958895078
492       4.920     -25.818511665660     12.990299759080     -38.808811424740     116.316528832898
494       4.940     -25.813497122707     12.930987827334     -38.744484950042     115.785443473282
496       4.960     -25.812796942356     12.997122597234     -38.809919539590     116.377621253053
498       4.980     -25.826694838060     13.302420220050     -39.129115058111     119.111288713046
500       5.000     -25.812784076843     13.116281321747     -38.929065398590     117.444581174881
502       5.020     -25.810470863005     12.800220406739     -38.610691269745     114.614538049225
504       5.040     -25.814643218507     12.884571332854     -38.699214551361     115.369825233619
506       5.060     -25.814003986633     12.968594504938     -38.782598491572     116.122177673490
